epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.3989,0.82856,2.55483,1.1644,0.33764,0.53014,0.40717,0.30926,0.85256,1.65425,1.30925,0.00017454,0.00017454,0.00017454
2,145.935,0.81804,1.71693,1.144,0.36251,0.55065,0.42776,0.3058,0.93093,2.06857,1.29166,0.00034641,0.00034641,0.00034641
3,212.275,0.83943,1.61154,1.1569,0.51748,0.53508,0.5046,0.38887,0.82649,1.49939,1.16332,0.000514808,0.000514808,0.000514808
4,278.376,0.81283,1.45259,1.14497,0.5287,0.62284,0.58731,0.46273,0.84038,1.27796,1.18052,0.000510378,0.000510378,0.000510378
5,345.115,0.79924,1.33221,1.14167,0.62987,0.5771,0.6488,0.51726,0.78307,1.37475,1.12511,0.00050517,0.00050517,0.00050517
6,410.82,0.74485,1.21096,1.10551,0.76653,0.6684,0.76662,0.61754,0.75467,0.89429,1.11695,0.000499963,0.000499963,0.000499963
7,476.078,0.73701,1.14308,1.10048,0.72793,0.74711,0.79517,0.65014,0.7333,0.81694,1.09401,0.000494756,0.000494756,0.000494756
8,541.035,0.7173,1.06212,1.09124,0.80197,0.76824,0.83884,0.69057,0.70885,0.69589,1.0839,0.000489548,0.000489548,0.000489548
9,606.3,0.70109,1.02396,1.06887,0.85696,0.74935,0.85576,0.70387,0.69389,0.64214,1.0658,0.000484341,0.000484341,0.000484341
10,671.072,0.69614,0.98708,1.06644,0.85111,0.80339,0.86443,0.71547,0.68834,0.64808,1.0624,0.000479133,0.000479133,0.000479133
11,735.986,0.67533,0.90867,1.06262,0.85745,0.80704,0.87794,0.73207,0.67029,0.57176,1.04973,0.000473926,0.000473926,0.000473926
12,801.495,0.66718,0.91517,1.06039,0.85234,0.82464,0.88313,0.73123,0.66666,0.58768,1.04768,0.000468719,0.000468719,0.000468719
13,866.172,0.6597,0.87489,1.05167,0.91504,0.83571,0.90566,0.75691,0.64936,0.5287,1.02386,0.000463511,0.000463511,0.000463511
14,931.244,0.65361,0.85426,1.04207,0.88915,0.81718,0.89973,0.74993,0.65158,0.54251,1.03197,0.000458304,0.000458304,0.000458304
15,996.647,0.64091,0.82045,1.03968,0.90256,0.86476,0.92176,0.77661,0.63287,0.49299,1.01516,0.000453096,0.000453096,0.000453096
16,1061.88,0.64327,0.80826,1.0441,0.91492,0.85788,0.92188,0.76257,0.69404,0.51662,1.05442,0.000447889,0.000447889,0.000447889
17,1126.93,0.63293,0.78095,1.03369,0.9115,0.84558,0.91785,0.76784,0.64706,0.52411,1.0212,0.000442682,0.000442682,0.000442682
18,1191.9,0.62523,0.77373,1.03145,0.90447,0.86799,0.92816,0.78007,0.65272,0.48496,1.02296,0.000437474,0.000437474,0.000437474
19,1257.09,0.62483,0.76763,1.03133,0.91778,0.88237,0.93504,0.79132,0.6317,0.44216,1.01697,0.000432267,0.000432267,0.000432267
20,1321.9,0.61914,0.74027,1.02494,0.91105,0.85517,0.92464,0.7766,0.62922,0.44643,1.01105,0.000427059,0.000427059,0.000427059
21,1386.86,0.61113,0.7136,1.01674,0.90689,0.87956,0.93442,0.78824,0.62176,0.43867,1.01507,0.000421852,0.000421852,0.000421852
22,1452.68,0.60888,0.718,1.02542,0.90964,0.8671,0.91959,0.78044,0.61297,0.44164,1.00497,0.000416645,0.000416645,0.000416645
23,1517.63,0.61274,0.73332,1.02193,0.94012,0.88364,0.95082,0.80156,0.60107,0.3985,0.98975,0.000411437,0.000411437,0.000411437
24,1582.53,0.6116,0.70364,1.01376,0.94952,0.89053,0.94473,0.79544,0.62952,0.41117,1.009,0.00040623,0.00040623,0.00040623
25,1648.39,0.60573,0.69285,1.01659,0.95357,0.87966,0.93971,0.80558,0.5942,0.40749,0.98796,0.000401022,0.000401022,0.000401022
26,1713.69,0.58651,0.68456,1.00643,0.9414,0.88483,0.94331,0.80493,0.61719,0.39571,0.99982,0.000395815,0.000395815,0.000395815
27,1778.75,0.59621,0.69679,1.01624,0.9405,0.89577,0.95295,0.80862,0.61504,0.40205,0.99718,0.000390608,0.000390608,0.000390608
28,1844.24,0.58904,0.67315,1.00464,0.93287,0.89295,0.94675,0.80605,0.61101,0.41939,0.99331,0.0003854,0.0003854,0.0003854
29,1908.92,0.57846,0.65614,1.00909,0.93482,0.89635,0.95084,0.81031,0.60756,0.37812,0.99113,0.000380193,0.000380193,0.000380193
30,1973.91,0.58151,0.66476,1.00142,0.91257,0.90108,0.94457,0.80037,0.62142,0.41249,1.00089,0.000374985,0.000374985,0.000374985
31,2039.41,0.58297,0.65901,1.00758,0.9392,0.88732,0.94009,0.79554,0.61154,0.39502,0.99342,0.000369778,0.000369778,0.000369778
32,2104.1,0.58138,0.64944,1.00326,0.94727,0.90873,0.94821,0.80443,0.61805,0.38641,0.99539,0.000364571,0.000364571,0.000364571
33,2169.44,0.56383,0.62795,0.9998,0.93945,0.89691,0.95733,0.81192,0.60466,0.37869,0.98663,0.000359363,0.000359363,0.000359363
34,2235.4,0.57394,0.63739,1.00164,0.94524,0.90848,0.95502,0.82111,0.59548,0.37232,0.98548,0.000354156,0.000354156,0.000354156
35,2300,0.56483,0.61754,0.99441,0.94414,0.89368,0.94837,0.81472,0.59897,0.37254,0.98236,0.000348948,0.000348948,0.000348948
