epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0291,1.14771,4.66392,1.5738,0.40557,0.10185,0.0312,0.02014,0.93616,4.27281,1.4303,3.336e-05,3.336e-05,3.336e-05
2,14.0215,0.84686,3.949,1.28709,0.40619,0.18157,0.15676,0.14415,0.82935,3.8887,1.31988,7.04221e-05,7.04221e-05,7.04221e-05
3,18.0175,0.72649,3.22058,1.18782,0.23071,0.4239,0.22025,0.16988,0.91873,3.14675,1.37476,0.000106989,0.000106989,0.000106989
4,22.0742,0.76448,2.77548,1.17383,0.3042,0.46289,0.37082,0.27205,0.91375,4.19029,1.42598,0.00014306,0.00014306,0.00014306
5,26.5707,0.72681,2.65449,1.17599,0.4565,0.34578,0.29716,0.2271,1.28068,4.24499,1.75363,0.000178636,0.000178636,0.000178636
6,30.6636,0.75897,2.35048,1.16213,0.35513,0.5627,0.32108,0.20894,1.20535,3.42367,1.55715,0.000213717,0.000213717,0.000213717
7,34.716,0.7354,2.2661,1.14462,0.63652,0.31631,0.40822,0.29835,1.03065,2.76574,1.39486,0.000248302,0.000248302,0.000248302
8,38.7586,0.71808,2.14421,1.13891,0.42899,0.45691,0.45468,0.35392,0.95918,2.70068,1.32156,0.000282392,0.000282392,0.000282392
9,42.8142,0.78154,2.07657,1.14255,0.59645,0.30556,0.42338,0.31589,1.08426,3.08069,1.53885,0.000315986,0.000315986,0.000315986
10,47.0716,0.78536,2.06191,1.14287,0.13804,0.43678,0.33484,0.22604,1.20171,3.33934,1.48371,0.000349085,0.000349085,0.000349085
11,50.8591,0.73641,1.94598,1.11549,0.13296,0.41863,0.26935,0.20244,1.21124,3.90622,1.55904,0.000381688,0.000381688,0.000381688
12,54.6953,0.73349,1.87593,1.09123,0.38198,0.48191,0.24869,0.18784,1.08466,3.67966,1.5606,0.000386726,0.000386726,0.000386726
13,58.6735,0.77261,1.83641,1.12929,0.77033,0.30739,0.40527,0.28467,1.25506,2.97177,1.74507,0.000383974,0.000383974,0.000383974
14,62.4485,0.76767,1.80323,1.12729,0.71751,0.23813,0.31721,0.21205,1.32974,3.4135,1.79973,0.000381221,0.000381221,0.000381221
15,66.2645,0.7662,1.80977,1.11548,0.66269,0.28704,0.34415,0.24668,1.27177,3.08974,1.89561,0.000378469,0.000378469,0.000378469
16,70.0876,0.78415,1.72684,1.14976,0.59905,0.33786,0.40476,0.28516,1.31094,2.74267,2.10085,0.000375717,0.000375717,0.000375717
17,73.8161,0.74993,1.52686,1.09147,0.36242,0.46793,0.42781,0.30817,1.43224,2.54708,2.24339,0.000372965,0.000372965,0.000372965
18,77.5079,0.81539,1.65327,1.1564,0.70815,0.31458,0.39506,0.27633,1.34065,2.94634,1.82333,0.000370213,0.000370213,0.000370213
19,81.4267,0.74504,1.61402,1.09333,0.60502,0.39006,0.46922,0.35075,1.19633,2.67402,1.80555,0.00036746,0.00036746,0.00036746
20,85.205,0.72687,1.51522,1.10191,0.47503,0.35185,0.44324,0.34159,1.3187,2.9189,1.89506,0.000364708,0.000364708,0.000364708
21,89.4455,0.69553,1.5154,1.11594,0.59949,0.36567,0.44253,0.32048,1.29647,2.55116,1.85542,0.000361956,0.000361956,0.000361956
22,93.2348,0.69094,1.42232,1.08158,0.69917,0.36111,0.52624,0.42765,1.11409,2.34529,1.64593,0.000359204,0.000359204,0.000359204
23,96.9983,0.77019,1.4674,1.14459,0.50582,0.60577,0.56008,0.41318,1.14211,2.37371,1.71419,0.000356452,0.000356452,0.000356452
24,100.785,0.69379,1.3105,1.08447,0.42856,0.55592,0.53689,0.41148,1.01121,2.38376,1.4981,0.000353699,0.000353699,0.000353699
25,104.471,0.66847,1.34165,1.05715,0.8341,0.44512,0.59959,0.45616,1.16145,2.20599,1.72303,0.000350947,0.000350947,0.000350947
26,108.433,0.73398,1.40339,1.08167,0.32496,0.66342,0.6408,0.47638,1.33483,2.29954,1.79107,0.000348195,0.000348195,0.000348195
27,112.362,0.73502,1.31619,1.11614,0.49503,0.50638,0.63681,0.46725,1.32929,2.1704,1.79473,0.000345443,0.000345443,0.000345443
28,116.248,0.69575,1.32121,1.07967,0.34121,0.55909,0.55742,0.42858,1.13976,2.2708,1.63334,0.000342691,0.000342691,0.000342691
29,119.947,0.65503,1.2441,1.06322,0.58425,0.43901,0.51143,0.39861,1.17837,2.22815,1.59277,0.000339938,0.000339938,0.000339938
30,123.836,0.64526,1.08786,1.05061,0.48714,0.50918,0.52098,0.37944,1.18397,2.20595,1.61403,0.000337186,0.000337186,0.000337186
31,127.708,0.64865,1.23066,1.03128,0.38766,0.59601,0.51092,0.35501,1.23071,2.22951,1.75914,0.000334434,0.000334434,0.000334434
32,131.636,0.62953,1.24331,1.04983,0.72523,0.5583,0.71088,0.49179,1.2189,1.85441,1.57499,0.000331682,0.000331682,0.000331682
33,135.609,0.6065,1.16926,1.00234,0.62018,0.67556,0.73436,0.52223,1.10635,1.69541,1.55711,0.00032893,0.00032893,0.00032893
34,139.602,0.65587,1.0969,1.04575,0.70747,0.67654,0.74456,0.52804,1.17106,1.71111,1.59101,0.000326177,0.000326177,0.000326177
35,143.555,0.59072,0.99255,1.02439,0.6827,0.58796,0.705,0.55311,1.17669,1.69717,1.54105,0.000323425,0.000323425,0.000323425
36,147.784,0.62483,1.05265,1.03834,0.40237,0.65489,0.62586,0.48846,0.96426,1.99669,1.38691,0.000320673,0.000320673,0.000320673
37,151.692,0.61902,1.08835,1.01802,0.64602,0.54934,0.61514,0.47679,0.90785,2.42742,1.27673,0.000317921,0.000317921,0.000317921
38,155.533,0.61202,1.11486,1.03023,0.50345,0.63957,0.62441,0.47113,0.99215,2.28827,1.39114,0.000315169,0.000315169,0.000315169
39,159.247,0.68549,1.07826,1.05711,0.35069,0.63172,0.57456,0.43653,1.02985,2.2009,1.31691,0.000312416,0.000312416,0.000312416
40,163.092,0.60594,1.20548,1.06029,0.42898,0.69109,0.6621,0.49221,1.232,1.8506,1.52894,0.000309664,0.000309664,0.000309664
41,166.813,0.60984,1.10071,1.02421,0.44068,0.6886,0.69661,0.49925,1.22482,1.98475,1.55764,0.000306912,0.000306912,0.000306912
42,170.517,0.62855,1.0174,1.04808,0.49741,0.70652,0.65582,0.48845,1.10036,1.82008,1.53124,0.00030416,0.00030416,0.00030416
43,174.361,0.60283,0.98894,1.02602,0.58445,0.50879,0.61734,0.46399,1.12596,1.95023,1.61304,0.000301408,0.000301408,0.000301408
